Date,Price,,Date1,Price1,,Date2,Price2,,Date3,Price3,,Date4,Price4,,Date5,Price5
4/1/13,1597.57,,4/1/13,1753.61,,4/1/13,1.68,,4/1/13,"4,683.33",,1/1/15,"6,177.54",,,
5/1/13,1630.74,,5/1/13,1702.25,,5/1/13,2.16,,5/1/13,"4,613.59",,2/1/15,"6,018.12",,,
6/1/13,1606.28,,6/1/13,1638.94,,6/1/13,2.48,,6/1/13,"4,624.37",,3/1/15,"6,087.34",,,
7/1/13,1685.73,,7/1/13,1724.75,,7/1/13,2.59,,7/1/13,"4,851.60",,4/1/15,"5,800.61",,,
8/1/13,1632.97,,8/1/13,1697.34,,8/1/13,2.75,,8/1/13,"5,015.39",,5/1/15,"5,794.00",,,
9/1/13,1681.55,,9/1/13,1818.23,,9/1/13,2.62,,9/1/13,"4,845.28",,6/1/15,"5,543.78",,,
10/1/13,1756.54,,10/1/13,1878.39,,10/1/13,2.54,,10/1/13,"4,775.37",,7/1/15,"5,812.92",,,
11/1/13,1805.81,,11/1/13,1888.91,,11/1/13,2.74,,11/1/13,"4,738.15",,8/1/15,"5,482.95",,,
12/1/13,1848.36,,12/1/13,1915.6,,12/1/13,3.03,,12/1/13,"4,829.47",,9/1/15,"5,585.74",,,
1/1/14,1782.59,,1/1/14,1837.64,,1/1/14,2.67,,1/1/14,"4,750.44",,10/1/15,"5,928.86",,,
2/1/14,1859.45,,2/1/14,1935.88,,2/1/14,2.66,,2/1/14,"4,964.60",,11/1/15,"5,913.56",,,
3/1/14,1872.34,,3/1/14,1915.69,,3/1/14,2.72,,3/1/14,"4,971.54",,12/1/15,"5,984.18",,,
4/1/14,1883.95,,4/1/14,1936.67,,4/1/14,2.65,,4/1/14,"5,008.40",,1/1/16,"5,776.00",,,
5/1/14,1923.57,,5/1/14,1956.61,,5/1/14,2.46,,5/1/14,"4,999.62",,2/1/16,"5,759.40",,,
6/1/14,1960.23,,6/1/14,1972.12,,6/1/14,2.52,,6/1/14,"5,105.46",,3/1/16,"6,334.70",,,
7/1/14,1930.67,,7/1/14,1932.66,,7/1/14,2.56,,7/1/14,"4,835.02",,4/1/16,"6,229.23",,,
8/1/14,2003.37,,8/1/14,1924.62,,8/1/14,2.34,,8/1/14,"4,755.75",,5/1/16,"6,374.92",,,
9/1/14,1972.29,,9/1/14,1846.08,,9/1/14,2.51,,9/1/14,"4,469.27",,6/1/16,"6,801.03",,,
10/1/14,2018.05,,10/1/14,1818.35,,10/1/14,2.34,,10/1/14,"4,201.84",,7/1/16,"7,064.36",,,
11/1/14,2067.56,,11/1/14,1839.73,,11/1/14,2.19,,11/1/14,"3,742.98",,8/1/16,"6,832.53",,,
12/1/14,2058.9,,12/1/14,1774.89,,12/1/14,2.17,,12/1/14,"3,232.80",,9/1/16,"6,736.22",,,
1/1/15,1994.99,,1/1/15,1782.7,,1/1/15,1.68,,1/1/15,"2,990.45",,10/1/16,"6,406.81",,,
2/1/15,2104.5,,2/1/15,1886.26,,2/1/15,2,,2/1/15,"3,183.79",,11/1/16,"6,276.04",,,
3/1/15,2067.89,,3/1/15,1849.34,,3/1/15,1.93,,3/1/15,"2,967.12",,12/1/16,"6,539.68",,,
4/1/15,2085.51,,4/1/15,1918.4,,4/1/15,2.05,,4/1/15,"3,295.22",,1/1/17,"6,555.64",,,
5/1/15,2107.39,,5/1/15,1898.98,,5/1/15,2.1,,5/1/15,"3,229.74",,2/1/17,"6,828.41",,,
6/1/15,2063.11,,6/1/15,1842.46,,6/1/15,2.34,,6/1/15,"3,226.12",,3/1/17,"6,733.68",,,
7/1/15,2103.84,,7/1/15,1879.75,,7/1/15,2.21,,7/1/15,"2,771.17",,4/1/17,"6,767.84",,,
8/1/15,1972.18,,8/1/15,1736.81,,8/1/15,2.2,,8/1/15,"2,779.47",,5/1/17,"6,757.90",,,
9/1/15,1920.03,,9/1/15,1644.4,,9/1/15,2.06,,9/1/15,"2,603.62",,6/1/17,"6,894.97",,,
10/1/15,2079.36,,10/1/15,1771.66,,10/1/15,2.15,,10/1/15,"2,609.60",,7/1/17,"6,977.24",,,
11/1/15,2080.41,,11/1/15,1741.01,,11/1/15,2.22,,11/1/15,"2,375.62",,8/1/17,"7,020.68",,,
12/1/15,2043.94,,12/1/15,1716.28,,12/1/15,2.27,,12/1/15,"2,170.62",,9/1/17,"6,980.34",,,
1/1/16,1940.24,,1/1/16,1591.46,,1/1/16,1.93,,1/1/16,"2,058.38",,10/1/17,"6,970.16",,,
2/1/16,1932.23,,2/1/16,1558.17,,2/1/16,1.74,,2/1/16,"2,016.99",,11/1/17,"7,153.29",,,
3/1/16,2059.74,,3/1/16,1652.04,,3/1/16,1.79,,3/1/16,"2,116.44",,12/1/17,"7,145.73",,,
4/1/16,2065.3,,4/1/16,1693.18,,4/1/16,1.82,,4/1/16,"2,331.04",,1/1/18,"6,914.43",,,
5/1/16,2096.95,,5/1/16,1667.84,,5/1/16,1.83,,5/1/16,"2,382.75",,2/1/18,"6,429.06",,,
6/1/16,2098.86,,6/1/16,1608.45,,6/1/16,1.49,,6/1/16,"2,384.66",,3/1/18,"6,669.61",,,
7/1/16,2173.6,,7/1/16,1689.12,,7/1/16,1.46,,7/1/16,"2,156.50",,4/1/18,"6,706.32",,,
8/1/16,2170.95,,8/1/16,1685.57,,8/1/16,1.57,,8/1/16,"2,194.65",,5/1/18,"6,942.73",,,
9/1/16,2168.27,,9/1/16,1701.69,,9/1/16,1.61,,9/1/16,"2,285.61",,6/1/18,"7,224.65",,,
10/1/16,2126.15,,10/1/16,1665.72,,10/1/16,1.83,,10/1/16,"2,251.39",,7/1/18,"7,280.43",,,
11/1/16,2198.81,,11/1/16,1629.67,,11/1/16,2.37,,11/1/16,"2,308.46",,8/1/18,"7,475.21",,,
12/1/16,2238.83,,12/1/16,1684,,12/1/16,2.48,,12/1/16,"2,417.31",,9/1/18,"7,298.98",,,
1/1/17,2278.87,,1/1/17,1732.38,,1/1/17,2.45,,1/1/17,"2,383.16",,10/1/18,"7,107.49",,,
2/1/17,2363.64,,2/1/17,1753.09,,2/1/17,2.36,,2/1/17,"2,388.70",,11/1/18,"7,426.57",,,
3/1/17,2362.72,,3/1/17,1792.98,,3/1/17,2.4,,3/1/17,"2,295.19",,12/1/18,"6,852.72",,,
4/1/17,2384.2,,4/1/17,1833.7,,4/1/17,2.28,,4/1/17,"2,246.85",,1/1/19,"7,635.24",,,
5/1/17,2411.8,,5/1/17,1890.06,,5/1/17,2.2,,5/1/17,"2,212.33",,2/1/19,"7,673.17",,,
6/1/17,2423.41,,6/1/17,1883.19,,6/1/17,2.3,,6/1/17,"2,169.81",,3/1/19,"7,997.07",,,
7/1/17,2470.3,,7/1/17,1936.91,,7/1/17,2.29,,7/1/17,"2,269.29",,4/1/19,"7,992.37",,,
8/1/17,2471.65,,8/1/17,1930.82,,8/1/17,2.12,,8/1/17,"2,251.67",,5/1/19,"8,008.38",,,
9/1/17,2519.36,,9/1/17,1973.81,,9/1/17,2.33,,9/1/17,"2,326.46",,6/1/19,"8,138.69",,,
10/1/17,2575.26,,10/1/17,2002.54,,10/1/17,2.38,,10/1/17,"2,415.28",,7/1/19,"8,266.93",,,
11/1/17,2584.84,,11/1/17,2020.13,,11/1/17,2.42,,11/1/17,"2,448.66",,8/1/19,"8,547.59",,,
12/1/17,2673.61,,12/1/17,2050.79,,12/1/17,2.41,,12/1/17,"2,556.71",,9/1/19,"8,728.20",,,
1/1/18,2823.81,,1/1/18,2153.05,,1/1/18,2.72,,1/1/18,"2,644.13",,10/1/19,"8,828.02",,,
2/1/18,2713.83,,2/1/18,2051.73,,2/1/18,2.87,,2/1/18,"2,555.82",,11/1/19,"8,708.75",,,
3/1/18,2640.87,,3/1/18,2005.67,,3/1/18,2.74,,3/1/18,"2,612.60",,12/1/19,"8,776.18",,,
4/1/18,2648.05,,4/1/18,2043.66,,4/1/18,2.94,,4/1/18,"2,744.20",,1/1/20,"8,899.33",,,
5/1/18,2705.27,,5/1/18,1986.17,,5/1/18,2.82,,5/1/18,"2,783.92",,2/1/20,"8,268.94",,,
6/1/18,2718.37,,6/1/18,1958.64,,6/1/18,2.85,,6/1/18,"2,821.65",,3/1/20,"6,544.90",,,
7/1/18,2816.29,,7/1/18,2006.06,,7/1/18,2.96,,7/1/18,"2,722.02",,4/1/20,"7,137.81",,,
8/1/18,2901.52,,8/1/18,1962.05,,8/1/18,2.85,,8/1/18,"2,751.35",,5/1/20,"7,259.76",,,
9/1/18,2913.98,,9/1/18,1973.6,,9/1/18,3.06,,9/1/18,"2,859.44",,6/1/20,"7,458.47",,,
10/1/18,2711.74,,10/1/18,1815.17,,10/1/18,3.16,,10/1/18,"2,692.36",,7/1/20,"7,739.84",,,
11/1/18,2760.17,,11/1/18,1809.56,,11/1/18,3.01,,11/1/18,"2,388.63",,8/1/20,"7,765.11",,,
12/1/18,2506.85,,12/1/18,1719.88,,12/1/18,2.69,,12/1/18,"2,203.47",,9/1/20,"7,567.39",,,
1/1/19,2704.1,,1/1/19,1831.1,,1/1/19,2.64,,1/1/19,"2,401.53",,10/1/20,"7,327.33",,,
2/1/19,2784.49,,2/1/19,1873.72,,2/1/19,2.71,,2/1/19,"2,493.11",,11/1/20,"8,040.25",,,
3/1/19,2834.4,,3/1/19,1875.43,,3/1/19,2.41,,3/1/19,"2,533.23",,12/1/20,"8,261.85",,,
4/1/19,2945.83,,4/1/19,1921.49,,4/1/19,2.51,,4/1/19,"2,605.41",,,,,,
5/1/19,2752.06,,5/1/19,1817.39,,5/1/19,2.14,,5/1/19,"2,391.42",,,,,,
6/1/19,2941.76,,6/1/19,1922.3,,6/1/19,2,,6/1/19,"2,497.37",,,,,,
7/1/19,2980.38,,7/1/19,1897.12,,7/1/19,2.02,,7/1/19,"2,492.08",,,,,,
8/1/19,2926.46,,8/1/19,1842.58,,8/1/19,1.51,,8/1/19,"2,351.95",,,,,,
9/1/19,2976.74,,9/1/19,1889.36,,9/1/19,1.68,,9/1/19,"2,393.09",,,,,,
10/1/19,3037.56,,10/1/19,1955.48,,10/1/19,1.69,,10/1/19,"2,422.88",,,,,,
11/1/19,3140.98,,11/1/19,1974.47,,11/1/19,1.78,,11/1/19,"2,422.57",,,,,,
12/1/19,3230.78,,12/1/19,2036.94,,12/1/19,1.92,,12/1/19,"2,591.86",,,,,,
1/1/20,3225.52,,1/1/20,1993.72,,1/1/20,1.52,,1/1/20,"2,311.29",,,,,,
2/1/20,2954.22,,2/1/20,1809.71,,2/1/20,1.13,,2/1/20,"2,117.39",,,,,,
3/1/20,2584.59,,3/1/20,1559.59,,3/1/20,0.7,,3/1/20,"1,494.34",,,,,,
4/1/20,2912.43,,4/1/20,1657.69,,4/1/20,0.62,,4/1/20,"1,349.82",,,,,,
5/1/20,3044.31,,5/1/20,1725.09,,5/1/20,0.65,,5/1/20,"1,570.82",,,,,,
6/1/20,3100.29,,6/1/20,1780.58,,6/1/20,0.65,,6/1/20,"1,650.79",,,,,,
7/1/20,3271.12,,7/1/20,1820.21,,7/1/20,0.54,,7/1/20,"1,713.46",,,,,,
8/1/20,3500.31,,8/1/20,1909.99,,8/1/20,0.69,,8/1/20,"1,792.03",,,,,,
9/1/20,3363,,9/1/20,1855.32,,9/1/20,0.68,,9/1/20,"1,726.81",,,,,,
10/1/20,3269.96,,10/1/20,1780.09,,10/1/20,0.86,,10/1/20,"1,665.08",,,,,,
11/1/20,3621.63,,11/1/20,2053.83,,11/1/20,0.84,,11/1/20,"1,865.57",,,,,,
12/1/20,3756.07,,12/1/20,2147.53,,12/1/20,0.92,,12/1/20,"1,976.96",,,,,,
